b1;bsr;h;l;l12;ugol;K;lambda
4.17044547995503;3.26941587530741;0.326941587530741;18.9736659610103;9.48683298050514;12.0;16.89;5
5.12614752369006;3.72991335211299;0.372991335211299;17.3205080756888;8.66025403784439;21.0;15.09;5
4.98295773161491;3.5116962627067;0.35116962627067;18.9736659610103;9.48683298050514;21.0;15.33;6
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.46945313549714;3.04190841317439;0.304190841317439;23.2379000772445;11.6189500386223;18.0;16.2;8
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
4.38442870955101;3.54560441680788;0.354560441680788;17.3205080756888;8.66025403784439;12.0;15.77;5
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
4.38442870955101;3.54560441680788;0.354560441680788;17.3205080756888;8.66025403784439;12.0;15.77;5
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
4.17044547995503;3.26941587530741;0.326941587530741;18.9736659610103;9.48683298050514;12.0;16.89;5
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.17044547995503;3.26941587530741;0.326941587530741;18.9736659610103;9.48683298050514;12.0;16.89;5
4.69614892406458;3.93130200377256;0.393130200377256;15.4919333848297;7.74596669241483;12.0;14.63;4
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.98295773161491;3.5116962627067;0.35116962627067;18.9736659610103;9.48683298050514;21.0;15.33;6
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
5.12614752369006;3.72991335211299;0.372991335211299;17.3205080756888;8.66025403784439;21.0;15.09;5
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.98295773161491;3.5116962627067;0.35116962627067;18.9736659610103;9.48683298050514;21.0;15.33;6
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.81185747742062;3.22391185961304;0.322391185961304;23.2379000772445;11.6189500386223;21.0;15.53;8
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
4.38442870955101;3.54560441680788;0.354560441680788;17.3205080756888;8.66025403784439;12.0;15.77;5
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
4.46945313549714;3.04190841317439;0.304190841317439;23.2379000772445;11.6189500386223;18.0;16.2;8
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.98295773161491;3.5116962627067;0.35116962627067;18.9736659610103;9.48683298050514;21.0;15.33;6
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.46945313549714;3.04190841317439;0.304190841317439;23.2379000772445;11.6189500386223;18.0;16.2;8
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.46945313549714;3.04190841317439;0.304190841317439;23.2379000772445;11.6189500386223;18.0;16.2;8
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
5.12614752369006;3.72991335211299;0.372991335211299;17.3205080756888;8.66025403784439;21.0;15.09;5
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
4.98295773161491;3.5116962627067;0.35116962627067;18.9736659610103;9.48683298050514;21.0;15.33;6
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.46945313549714;3.04190841317439;0.304190841317439;23.2379000772445;11.6189500386223;18.0;16.2;8
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.38442870955101;3.54560441680788;0.354560441680788;17.3205080756888;8.66025403784439;12.0;15.77;5
4.17044547995503;3.26941587530741;0.326941587530741;18.9736659610103;9.48683298050514;12.0;16.89;5
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
3.73911823513113;3.00266226504084;0.300266226504084;20.4939015319192;10.2469507659596;9.0;17.84;6
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.69614892406458;3.93130200377256;0.393130200377256;15.4919333848297;7.74596669241483;12.0;14.63;4
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
5.13129283822444;4.00925579530454;0.400925579530454;15.4919333848297;7.74596669241483;18.0;14.55;4
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
5.12614752369006;3.72991335211299;0.372991335211299;17.3205080756888;8.66025403784439;21.0;15.09;5
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
4.46945313549714;3.04190841317439;0.304190841317439;23.2379000772445;11.6189500386223;18.0;16.2;8
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.91066606145767;3.96565827930807;0.396565827930807;15.4919333848297;7.74596669241483;15.0;14.06;4
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
4.69614892406458;3.93130200377256;0.393130200377256;15.4919333848297;7.74596669241483;12.0;14.63;4
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.5181311367991;3.12404947890772;0.312404947890772;21.9089023002066;10.9544511501033;18.0;16.24;7
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
5.12614752369006;3.72991335211299;0.372991335211299;17.3205080756888;8.66025403784439;21.0;15.09;5
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
4.98295773161491;3.5116962627067;0.35116962627067;18.9736659610103;9.48683298050514;21.0;15.33;6
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.59228721296012;3.2431753533487;0.32431753533487;20.4939015319192;10.2469507659596;18.0;16.15;7
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
3.60605513449618;2.8301988426684;0.28301988426684;21.9089023002066;10.9544511501033;9.0;18.19;7
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.62426616032581;3.59361877152732;0.359361877152732;17.3205080756888;8.66025403784439;15.0;15.8;5
4.38442870955101;3.54560441680788;0.354560441680788;17.3205080756888;8.66025403784439;12.0;15.77;5
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
3.50205044621827;2.69127328857428;0.269127328857428;23.2379000772445;11.6189500386223;9.0;18.71;8
5.12614752369006;3.72991335211299;0.372991335211299;17.3205080756888;8.66025403784439;21.0;15.09;5
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.70338575713958;3.41262613488388;0.341262613488388;18.9736659610103;9.48683298050514;18.0;16.11;6
4.46945313549714;3.04190841317439;0.304190841317439;23.2379000772445;11.6189500386223;18.0;16.2;8
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
4.43317424380282;3.33253238370075;0.333253238370075;18.9736659610103;9.48683298050514;15.0;16.16;6
4.14987500396484;3.5093548239128;0.35093548239128;17.3205080756888;8.66025403784439;9.0;16.1;4
4.20611775687287;3.00073708209175;0.300073708209175;21.9089023002066;10.9544511501033;15.0;17.33;7
3.90274471181012;2.90356286046187;0.290356286046187;21.9089023002066;10.9544511501033;12.0;17.62;7
4.30042542101681;3.14224569138024;0.314224569138024;20.4939015319192;10.2469507659596;15.0;16.68;6
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
4.48635771203852;3.90536390653413;0.390536390653413;15.4919333848297;7.74596669241483;9.0;14.71;4
4.13851297034699;2.89476679668631;0.289476679668631;23.2379000772445;11.6189500386223;15.0;17.25;8
4.01664592226502;3.06270980046904;0.306270980046904;20.4939015319192;10.2469507659596;12.0;17.97;6
3.81673726425736;2.77881436675397;0.277881436675397;23.2379000772445;11.6189500386223;12.0;17.74;8
4.89425945847954;3.36801798294994;0.336801798294994;20.4939015319192;10.2469507659596;21.0;15.87;7
3.9135047689631;3.22176454795778;0.322176454795778;18.9736659610103;9.48683298050514;9.0;17.41;5
5.35956239950676;4.06318274239747;0.406318274239747;15.4919333848297;7.74596669241483;21.0;14.23;4
4.8709343955794;3.65454815241372;0.365454815241372;17.3205080756888;8.66025403784439;18.0;14.94;5
4.84095304624151;3.27657791882013;0.327657791882013;21.9089023002066;10.9544511501033;21.0;15.77;8
